spacecraft,spaceflight
spacecraft,outer space
spacecraft,vehicle
spacecraft,flight
light truck,List of best-selling automobiles
light truck,vehicle
light truck,gross vehicle weight
light truck,Cargo
light truck,goods vehicle
California Office of Legislative Counsel,California
kinetic energy,liquid fuel
kinetic energy,mechanical energy
Automotive industry,diesel engine
Automotive industry,Astra Daihatsu Motor
Automotive industry,Nissan
Automotive industry,Holden
Automotive industry,Daihatsu
Buoyancy,aircraft
Applied Energy,electric bicycle
List of best-selling automobiles,Benz Patent Motorwagen
List of best-selling automobiles,automobile
List of best-selling automobiles,Nissan Sunny
List of best-selling automobiles,Car
C-segment,Toyota Auris
C-segment,Daihatsu Applause
outer space,spaceflight
outer space,flight
California,Californio
California,vehicle
Daihatsu Charmant,Daihatsu
Daihatsu Charmant,Astra Daihatsu Motor
Daihatsu Charmant,Daihatsu Applause
Daihatsu Charmant,Subcompact car
Toyota Allex,Toyota Auris
Astra Daihatsu Motor,Daihatsu
Astra Daihatsu Motor,automobile
vehicle,aircraft
vehicle,electric bicycle
vehicle,Car
Nissan,Nissan Sunny
Nissan,Public company
Nissan,Nikkei 225
Nissan,TOPIX
Nissan,Nissan Sentra
Nissan,Holden
petrochemical,Gasoline
Toyota Auris,Toyota Corolla (E120)
figure of speech,rhetoric
figure of speech,exaggeration
flight,aircraft
flight,spaceflight
spaceflight,International Space Station
List of most-produced aircraft,aircraft
Nissan Sunny,Aichi Kikai
Nissan Sunny,Nissan Sentra
Nissan Sunny,Subcompact car
International Space Station,Soyuz (spacecraft)
Gasoline,Petrol
Gasoline,English in the Commonwealth of Nations
liquid fuel,Diesel fuel
liquid fuel,mechanical energy
liquid fuel,fossil fuels
Subcompact car,Nissan Sentra
diesel engine,Diesel fuel
Diesel fuel,Car
Petrol,Car
Akio Toyoda,Kiichiro Toyoda
Nikkei 225,TOPIX
Daihatsu,Toyota Probox
Daihatsu,Daihatsu Applause
Benz Patent-Motorwagen,Benz Patent Motorwagen
Benz Patent-Motorwagen,automobile
Benz Patent-Motorwagen,Car
mechanical energy,electric motor
automobile,Car
electric bicycle,electric motor
